2017.NAICS.Code,2017.NAICS.Title,GHG,Unit,Supply.Chain.Emission.Factors.without.Margins,Margins.of.Supply.Chain.Emission.Factors,Supply.Chain.Emission.Factors.with.Margins,Reference.USEEIO.Code
"111,110",Soybean Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.488,0.0,0.532,11110A
"111,120",Oilseed (except Soybean) Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.488,0.044,0.532,11110A
"111,150",Corn Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.809,0.04,0.85,11110B
"111,160",Rice Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.809,0.0,0.848,11110B
"111,191",Oilseed and Grain Combination Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.809,0.0,0.85,11110B
"111,199",All Other Grain Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.809,0.04,0.848,11110B
"111,199",All Other Grain Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.809,0.04,0.848,11110B
"111,211",Potato Farming,All GHG,"kg CO2e/2022 USD, purchaser price",0.591,0.041,0.631,111200
"111,219",Other Vegetable (except Potato) and Melon Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.591,0.041,0.631,111200
"111,310",Orange Groves,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.49,111300
"111,320",Citrus (except Orange) Groves,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.06,0.49,111300
"111,331",Apple Orchards,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,111300
"111,332",Grape Vineyard,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.1,0.488,111300
"111,333",Strawberry Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.49,111300
"111,334",Berry (except Strawberry) Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.059,0.488,111300
"111,336",Fruit and Tree Nut Combination Farming,All GHGs,"kg CO2e/2022 USD, purchaser price",0.429,0.06,0.49,111300
