X2017.NAICS.Code,X2017.NAICS.Title,GHG,Unit,Supply.Chain.Emission.Factors.without.Margins,Margins.of.Supply.Chain.Emission.Factors,Supply.Chain.Emission.Factors.with.Margins,Reference.USEEIO.Code,2017 NAICS Title
425120,Wholesale Trade Agents and Brokers,All GHGs,mg CO2e/kg,0.092,0,0.092,425000,NA
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser pric&",0.286,0.007,0.294,33641A,NA
337124,Metal Household Furniture Manufacturing,All GHGs#,ton CO2e,0.168,0.06,0.23,33712N,NA
337127,Institutional Furniture Manufacturin%,All GHGs%,ton CO2e,0.208,0.038,0.246,33712#,NA
561440,Collection Agencies%,All GHGs#,ton CO2e#,0.111,0,0.111,561400,NA
333517,Machine Tool Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price",0.176,0,0.199,33351#,NA
236220,Commercial and Institutional Building Construction,All GHGs#,lbs CO2e/m2,0.224,0,0.224,"230301, 233210, 233262, 2332A0",NA
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",All GHGs#,ton CO2e,0.595,0,0.6,484000,NA
331318,"Other Aluminum Rolling, Drawing, and Extruding%",All GHGs,"kg CO2e/2022 USD, purchaser price",0.7,0,0.721,33131B,NA
333111,Farm Machinery and Equipment Manufacturing!,All GHGs,"kg CO2e/2022 USD, purchaser price",0.191,0.029,0.22,333111,NA
621320,Offices of Optometrists,All GHGs,"kg CO2e/2022 USD, purchaser price",0.105,0,0.1,621300!,NA
532289,All Other Consumer Goods Renta%,All GHGs#,"kg CO2e/2022 USD, purchaser price#",0.102,0,0.1,532A00,NA
488999,All Other Support Activities for Transportation,All GHGs##,kg CO2e/m2,0.162,0,0.162,48A000!,NA
212210,Iron Ore Mining,All GHGs,lbs CO2e/m&,0.54,0.1,0.593,2122A0,NA
212391,"Potash, Soda, and Borate Mineral Mining!",All GHGs,"kg CO2e/2022 USD, purchaser price#",0.184,0.125,0.309,2123A0!,NA
532112,Passenger Car Leasing,All GHGs,mg CO2e/kg,0.11,0,0.11,532100,NA
323113,Commercial Screen Printing!,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.202,0.03,0.236,323110,NA
561622,Locksmiths,All GHGs##,"kg CO2e/2022 USD, purchaser price",0.074,0,0.07,561600#,NA
722310,Food Service Contractors!,All GHGs%,"kg CO2e/2022 USD, purchaser price",0.132,0,0.132,722A00,NA
314910,Textile Bag and Canvas Mills!,All GHG%,kg CO2e/m&,0.197,0,0.24,31490#,NA
337122,Nonupholstered Wood Household Furniture Manufacturin%,All GHGs%,"kg CO2e/2022 USD, purchaser price",0.121,0.06,0.18,337122,NA
332312,Fabricated Structural Metal Manufacturing,All GHGs,ton CO2e,0.246,0.017,0.262,33231#,NA
541820,Public Relations Agencies,All GHGs,kg CO2e/m2,0.085,0,0.09,541800,NA
811420,Reupholstery and Furniture Repair,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.113,0,0.113,811400,NA
333515,Cutting Tool and Machine Tool Accessory Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.023,0.184,0.207,33351B,NA
561410,Document Preparation Service%,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.111,0,0.11,561400,NA
447110,Gasoline Stations with Convenience Stores,All GHGs#,ton CO2e,0.183,0,0.18,447000,NA
332117,Powder Metallurgy Part Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser price&",0.47,0,0.493,33211A#,NA
322291,Sanitary Paper Product Manufacturing%,All GHGs,"kg CO2e/2022 USD, purchaser price",0.275,0.065,0.34,322291!,NA
334516,Analytical Laboratory Instrument Manufacturing,All GHGs,CO2e/lb,0.078,0.024,0.102,334516,NA
111199,All Other Grain Farming,All GHGs,g CO2e/kg&,0.809,0.04,0.848,1111B0!,NA
312111,Soft Drink Manufacturing,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.173,0.042,0.214,312110,NA
541612,Human Resources Consulting Service%,All GHGs,"kg CO2e/2022 USD, purchaser price",0.078,0,0.08,54161#,NA
423140,Motor Vehicle Parts (Used) Merchant Wholesalers,All GHGs,g CO2e/kg,0.115,0,0.12,423100!,NA
561622,Locksmiths,All GHGs#%,"kg CO2e/2022 USD, purchaser price",0.074,0,0.07,561600!,NA
452319,All Other General Merchandise Stores,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.164,0,0.164,452000,NA
335931,Current-Carrying Wiring Device Manufacturing!,All GHGs,kg CO2e/m2,0.102,0.026,0.13,335930,NA
812910,Pet Care (except Veterinary) Services,All GHGs,"kg CO2e/2022 USD, purchaser price#",0.111,-0,0.111,812900!,NA
485119,Other Urban Transit Systems,All GHGs,"kg CO2e/2022 USD, purchaser price",0.566,0,0.566,485000#,NA
424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,All GHGs,"kg CO2e/2022 USD, purchaser price",0.144,0,0.144,424A00#,NA
211130,Natural Gas Extraction,All GHGs,CO2e/lb,0.377,0.03,0.405,211000,NA
311942,Spice and Extract Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser pric&",0.303,0,0.344,311940,NA
332811,Metal Heat Treating,All GHGs#,"kg CO2e/2022 USD, purchaser pric&",0.368,0.015,0.382,332800,NA
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser price#",0.226,0.027,0.252,336350,NA
424110,Printing and Writing Paper Merchant Wholesaler%,All GHGs,kg CO2e/m&,0.144,0,0.144,424A00,NA
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesaler%",All GHGs#,"kg CO2e/2022 USD, purchaser price",0.083,0,0.083,42360#,NA
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers!,All GHG%,"kg CO2e/2022 USD, purchaser price",0.115,0,0.115,423800!,NA
531120,Lessors of Nonresidential Buildings (excpet Miniwarehouses)!,All GHGs,ton CO2e,0.246,0,0.25,531ORE#,NA
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,All GHGs,kg CO2e/m2,0.318,0,0.36,326150#,NA
-1636655,Pipeline Transportation of Crude Oil,All GHG%,"kg CO2e/2022 USD, purchaser price",1.619,0,1.619,486000,NA
311611,Animal (except Poultry) Slaughtering!,All GHGs%,"kg CO2e/2022 USD, purchaser price#",1.086,0.033,1.12,31161A,NA
423130,Tire and Tube Merchant Wholesalers,All GHGs#,lbs CO2e/m2,0.115,0,0.115,423100#,NA
NA,Cemeteries and Crematorie%,All GHGs,"kg CO2e/2022 USD, purchaser price",0.047,0,0.047,812200,NA
484110,"General Freight Trucking, Local",All GHG%,mg CO2e/kg,0.595,0,0.595,484000!,NA
452311,Warehouse Clubs and Supercenters,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.164,0,0.164,45200#,NA
311119,Other Animal Food Manufacturin%,All GHGs%,"kg CO2e/2022 USD, purchaser price",0.428,0.031,0.459,311119,NA
423710,Hardware Merchant Wholesalers,All GHGs,"kg CO2e/2022 USD, purchaser pric&",0.108,0,0.11,423A00!,NA
423420,Office Equipment Merchant Wholesalers%,All GHGs#,ton CO2e,0.074,0,0.074,42340#,NA
424440,Poultry and Poultry Product Merchant Wholesaler%,All GHGs#,mg CO2e/kg,0.159,0,0.159,42440#,NA
522298,All Other Nondepository Credit Intermediation!,All GHGs#,kg CO2e/m2,0.072,0,0.07,522A0#,NA
321992,Prefabricated Wood Building Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser price#",0.135,0.029,0.16,3219A#,NA
453910,Pet and Pet Supplies Store%,All GHGs,"kg CO2e/2022 USD, purchaser price",0.111,0,0.111,4B0000,NA
561330,Professional Employer Organizations,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.051,0,0.05,561300,NA
238390,Other Building Finishing Contractors,All GHGs%,"kg CO2e/2022 USD, purchaser price",0.221,0,0.221,"230301, 230302, 233210, 233230, 233240, 233262, 2332A0, 2332D0, 233411, 233412, 2334A0",NA
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,All GHGs#,"kg CO2e/2022 USD, purchaser price",0.112,0.016,0.13,335999,NA
